observers,date,found_bees,beesID
MM,28/01/2018,Y,SAB_1
MM,28/01/2018,Y,SAB_2
MM,28/01/2018,Y,SAB_3
MM,17/03/2018,Y,SAB_4
MM,27/03/2018,Y,SAB_5
DJL,05/05/2018,Y,DBEES02
"CNS, MM",13/05/2018,N,NA
"CNS, MM",14/05/2018,N,NA
"CNS, MM",14/05/2018,Y,BEES005
CNS,15/05/2018,Y,BEES007
CNS,15/05/2018,Y,BEES008
"DJL, MM",15/05/2018,N,NA
"DJL, MM",15/05/2018,Y,DB003
"DJL, MM",16/05/2018,Y,BEES009
CNS,16/05/2018,N,NA
DJL,16/05/2018,Y,DBEES04
DJL,16/05/2018,Y,DBEES05
"CNS, MM",17/05/2018,Y,BEES010
"CNS, MM",17/05/2018,Y,BEES011
"CNS, MM",17/05/2018,Y,BEES014
"CNS, MM",17/05/2018,Y,BEES015
DJL,17/05/2018,Y,DB006
DJL,17/05/2018,N,NA
DJL,17/05/2018,N,NA
CNS,17/05/2018,N,NA
DJL,17/05/2018,Y,DBEES06
DJL,18/05/2018,Y,DBEES07
CNS,18/05/2018,Y,NA
CNS,18/05/2018,Y,NA
CNS,18/05/2018,Y,PUFFADDER
DJL,18/05/2018,Y,DBEES07
"DJL, MM",19/05/2018,Y,DBEES09
DJL,21/05/2018,Y,DBEES09B
DJL,29/05/2018,Y,DBEES10
DJL,31/05/2018,Y,DBEES11
DJL,31/05/2018,Y,DBEES12
DJL,06/06/2018,Y,DBEES14
DJL,07/06/2018,Y,DBEES15
DJL,07/06/2018,Y,DBEES16
DJL,07/06/2018,Y,DBEES17
DJL,08/06/2018,N,NA
DJL,08/06/2018,N,NA
DJL,08/06/2018,Y,DBEES18
DJL,12/06/2018,N,NA
DJL,12/06/2018,N,NA
DJL,12/06/2018,Y,DBEES19
DJL,13/06/2018,Y,DBEES20
DJL,13/06/2018,Y,GALAGO
DJL,13/06/2018,N,NA
DJL,13/06/2018,Y,DBEES21
DJL,14/06/2018,N,NA
DJL,14/06/2018,N,NA
DJL,14/06/2018,Y,DBEES22
DJL,14/06/2018,Y,DBEES23
DJL,14/06/2018,Y,DBEES24
DJL,16/06/2018,Y,DBEES25
DJL,16/06/2018,N,NA
DJL,16/06/2018,N,NA
DJL,16/06/2018,N,NA
DJL,17/06/2018,Y,DBEES27
DJL,17/06/2018,N,NA
DJL,18/06/2018,N,NA
DJL,18/06/2018,N,NA
DJL,18/06/2018,Y,DBEES28
DJL,18/06/2018,Y,MAMBA
DJL,19/06/2018,N,NA
DJL,19/06/2018,Y,DBEES30
DJL,19/06/2018,N,NA
DJL,20/06/2018,Y,DBEES31
DJL,20/06/2018,Y,DBEES32
DJL,22/06/2018,Y,PYTHON
DJL,22/06/2018,Y,DBEES50
DJL,22/06/2018,Y,DBEES52
DJL,22/06/2018,Y,DBEES53
DJL,22/06/2018,Y,DBEES54
DJL,22/06/2018,Y,DBEES55
DJL,22/06/2018,Y,DBEES57
DJL,23/06/2018,Y,DBEES58B
DJL,23/06/2018,Y,DBEES59
DJL,23/06/2018,Y,DBEES60
DJL,23/06/2018,Y,DBEES61
DJL,23/06/2018,Y,DBEES62
DJL,23/06/2018,Y,DBEES63
DJL,24/06/2018,Y,DBEES64
DJL,24/06/2018,Y,DBEES67
DJL,24/06/2018,Y,DBEES69
DJL,27/06/2018,Y,DBEES70
DJL,27/06/2018,Y,DBEES71
DJL,27/06/2018,Y,DBEES72
DJL,27/06/2018,Y,DBEES73
DJL,27/06/2018,Y,DBEES74
MM,25/07/2018,Y,SAB_6
MM,25/07/2018,Y,SAB_7
MM,25/07/2018,Y,SAB_8
MM,25/07/2018,Y,SAB_9
MM,25/07/2018,Y,SAB_10
MM,29/08/2018,Y,SAB_11
MM,12/09/2018,Y,SAB_12
MM,12/09/2018,Y,SAB_13
MM,26/09/2018,Y,SAB_14
DJL,17/10/2018,Y,DBEES71B
DJL,17/10/2018,Y,DBEES72B
DJL,19/10/2018,Y,DBEES73B
DJL,19/10/2018,Y,DBEES74B
MM,23/10/2018,Y,SAB_15
MM,27/11/2018,Y,SAB_16
MM,22/12/2018,Y,SAB_17
MM,22/12/2018,Y,SAB_18