date,group,guide_age,guide_sex,bee,harvested,treeID,follow_GPStrackID,audio_trackID,audio_start_indication,audio_finish_woo,indication_to_woo,beetree_lat,beetree_lon,guiding_starttime,finalphasecalls_time,foundtree_time,dist_fp_start_to_bees,followdist_crowfly,follow_trackdist,GPSguiding_starttime,GPSguiding_endtime,avg_speed_kph
18/05/2018,A,4,F,NB,NA,PUFFADDER,CNS22,NA,NA,09:26:22,NA,-12.03495,37.994469,09:05:20,NA,09:26:22,NA,505,838,09:05:20,09:26:22,2.39
06/06/2018,B,4,F,apis,N,DBEES14,C3,C3_fp,16:00:57,16:04:23,00:03:26,-12.142789,38.051227,16:00:19,16:00:57,16:04:23,11,53,73,16:00:19,16:04:23,1.08
07/06/2018,B,4,F,apis,N,DBEES15,C5,NA,NA,NA,NA,-12.08957,38.07404,09:52:28,NA,09:55:56,NA,87,116,09:52:28,09:55:56,2
07/06/2018,B,4,M,apis,N,DBEES16,C6,C6_fp,11:00:36,11:00:59,00:00:23,-12.08278,38.05814,10:53:26,11:00:36,11:00:59,30,289,327,10:53:26,11:01:07,2.56
07/06/2018,B,1,unk,apis,N,DBEES17,C7,C7_fp,11:45:47,11:48:00,00:02:13,-12.08331,38.05722,11:45:47,11:45:47,11:48:00,102,113,150,11:45:15,11:49:04,2.36
08/06/2018,B,4,M,apis,Y,DBEES18,C10,C10_fp,11:09:51,11:11:28,00:01:37,-12.11651,38.08491,11:09:51,11:09:51,11:11:28,54,88,106,11:09:51,11:13:06,1.95
12/06/2018,B,3,M,apis,Y,DBEES19,C13,C13_fp,11:19:20,11:24:45,00:05:25,-12.1532,37.96627,11:13:47,11:19:20,11:24:45,106,241,318,11:13:39,11:24:45,1.74
13/06/2018,B,4,M,apis,Y,DBEES20,C14,C14_fp,08:14:37,08:20:24,00:05:47,-12.14819,37.95589,08:14:37,08:14:37,08:20:24,240,262,242,08:14:37,08:20:24,2.72
13/06/2018,A,4,M,GALAGO,NA,GALAGO,C14_BB,C14_BB,08:40:10,08:44:00,NA,-12.15027,37.95803,08:40:10,NA,08:44:00,NA,122,160,08:40:10,08:44:00,2.5
13/06/2018,B,4,M,apis,N,DBEES21,C16,C16_fp,10:59:00,11:10:18,00:11:18,-12.08278,38.05814,10:59:00,NA,11:13:56,45,400,588,10:59:00,11:13:56,2.09
14/06/2018,B,4,M,apis,N,DBEES22,C19,C19_fp,09:19:11,09:20:14,00:01:03,-12.09593,37.92492,09:13:12,09:19:11,09:20:14,40,56,242,09:13:12,09:20:14,2.06
14/06/2018,B,4,M,apis,Y,DBEES23,C20,C20_fp,10:11:46,10:20:11,00:08:25,-12.07689,37.92122,10:00:03,10:11:46,10:20:11,27,512,890,10:00:03,10:20:11,2.67
14/06/2018,B,4,M,apis,Y,DBEES24,C21,C21_fp,11:27:49,11:29:28,00:01:39,-12.06443,37.99355,11:19:50,11:27:49,11:29:28,151,267,480,11:19:50,11:29:28,2.99
16/06/2018,B,4,F,apis,N,DBEES25,C22,C22_fp,08:07:29,08:08:07,00:00:38,-12.22032,37.99355,08:02:08,08:07:29,08:12:11,58,308,349,08:02:08,08:12:11,3.49
17/06/2018,B,4,F,apis,N,DBEES27,C27,C27_fp,08:40:59,08:41:55,00:00:56,-12.14471,37.94471,08:37:07,08:40:59,08:41:55,42,164,180,08:37:07,08:41:55,2.25
18/06/2018,B,4,M,apis,Y,DBEES28,C33,C33_fp,09:20:42,09:20:52,00:00:10,-12.0817,37.92248,09:12:24,09:20:42,09:20:52,1,409,447,09:12:24,09:20:52,3.17
18/06/2018,A,4,F,MAMBA,NA,MAMBA,C34,C34_fp,10:59:01,11:00:16,00:01:15,-12.07765,37.90738,10:53:59,10:59:01,11:00:16,15,225,245,10:53:59,11:00:16,2.36
19/06/2018,B,4,M,apis,N,DBEES30,C36,C36_fp,08:28:18,08:30:47,00:02:29,-12.17011,37.97542,08:25:06,08:28:18,08:30:47,16,23,151,08:25:06,08:30:47,1.64
20/06/2018,B,4,M,apis,N,DBEES31,C39,C39_fp,NA,07:33:44,00:00:01,-12.21716,37.97894,07:22:37,NA,07:33:44,NA,132,261,07:22:37,07:33:44,3.46
27/06/2018,B,4,F,apis,N,DBEES70,C45,C45_fp,NA,07:54:03,00:00:01,-12.05481,37.91457,07:54:03,NA,08:05:38,NA,569,639,07:54:03,08:05:38,3.28
27/06/2018,B,4,F,apis,N,DBEES72,C46,C46_fp,08:52:52,08:54:23,00:01:31,-12.04021,37.89908,08:52:52,08:52:52,08:54:23,76,71,77,08:52:52,08:54:23,2.88
27/06/2018,B,4,M,apis,N,DBEES73,C47,C47_fp,09:41:57,09:42:10,00:00:13,-12.0345,37.88449,10:36:35,,10:42:25,19,197,230,09:36:09,09:42:10,2.27
27/06/2018,B,4,M,apis,Y,DBEES74,C49,C49_fp,NA,11:08:25,00:00:01,-12.00969,37.88749,11:03:07,NA,11:08:25,NA,264,301,11:03:07,11:08:25,3.4
22/06/2018,A,4,M,PYTHON,NA,PYTHON,C43_PY,NA,10:48:11,10:48:34,00:00:23,-12.28851,38.03388,10:46:22,10:48:11,10:48:34,0,66,75,10:46:22,10:48:34,2.08