outcome,siteID,all_trees_before,preceding_harvests,preceding_non-harvests,proportionNonHarvest,prior_bees,date,lat,lon
NonBees,PYTHON,2,1,1,0.5,"DBEES53, DBEES52",22/06/2018,-12.28851,38.03388
NonBees,MAMBA,2,2,0,0,"DBEES23, DBEES28",18/06/2018,-12.07765,37.90738
NonBees,PUFFADDER,4,1,3,0.75,"BEES007, BEES009, BEES014, DB006",18/05/2018,-12.03491,37.99441
NonBees,GALAGO,2,2,0,0,"DBEES20, DBEES19",13/06/2018,-12.15027,37.95803
Bees,DBEES71,2,1,1,0.5,"DBEES24, DBEES70",27/06/2018,-12.05275,37.91187
Bees,DBEES32,2,0,2,1,"DBEES31, DBEES25",20/06/2018,-12.21586,37.97845
Bees,DBEES69,2,1,1,0.5,"DBEES67, DBEES55",24/06/2018,-12.31342,38.04399
Bees,DBEES63,4,4,0,0,"DBEES62, DBEES61, DBEES59, DBEES60",23/06/2018,-12.30406,38.01493
Bees,DBEES64,3,3,0,0,"DBEES54, DBEES57, DBEES58",24/06/2018,-12.28379,38.04232
Bees,DBEES18,3,0,3,1,"DBEES15, DBEES02, DB003",08/06/2018,-12.07651,38.07487
Bees,DBEES17,4,0,4,1,"DBEES02, DB003, DBEES16, BEES005",07/06/2018,-12.08331,38.05722